,Project ID,Type,Name,Location,Standard,Volume,Price,Price Type,Broker,Offer Date,LDC,Notes,Year,Month,Quarter,Vintage
0,VCS 468,Wind,Capricorn Ridge 4 Wind Farm,USA,VCS,1000,2.0,Trade,CBL,2019-01-11 00:00:00,0.0,,2019,1,1,2015
1,VCS 985,REDD,Cordillera Azul National Park REDD Project,Peru,VCS-CCB,10000,0.7,Trade,CBL,2019-01-23 00:00:00,0.0,,2019,1,1,2012
2,VCS 1453,Wind,Gansu Ganzhou District Nantan Phase I 50MWP Solar Photovaltic Power Project,China,VCS,442,0.5,Trade,CBL,2019-02-12 00:00:00,0.0,,2019,2,1,2017
3,VCS 985,REDD,Cordillera Azul National Park REDD Project,Peru,VCS-CCB,5191,0.7,Trade,CBL,2019-02-26 00:00:00,0.0,,2019,2,1,2012
4,VCS 1356,Wind,Jiangsu Dongtai Phase II Wind Power Project,China,VCS,16536,0.38,Trade,CBL,2019-02-28 00:00:00,0.0,,2019,2,1,2012
5,VCS 1356,Wind,Jiangsu Dongtai Phase II Wind Power Project,China,VCS,30434,0.38,Trade,CBL,2019-02-28 00:00:00,0.0,,2019,2,1,2011
6,VCS 727,Wind,Cecic hke zhangbei lvnaobao wind power project,China,VCS,57357,0.38,Trade,CBL,2019-02-28 00:00:00,0.0,,2019,2,1,2012
7,VCS 1200,Wind,Guohua Wulate Zhongqi Phase II Wind Farm Project,China,VCS,5715,0.38,Trade,CBL,2019-02-28 00:00:00,0.0,,2019,2,1,2010
8,VCS 1200,Wind,Guohua Wulate Zhongqi Phase II Wind Farm Project,China,VCS,1879,0.38,Trade,CBL,2019-02-28 00:00:00,0.0,,2019,2,1,2009
9,VCS 727,Wind,Cecic hke zhangbei lvnaobao wind power project,China,VCS,87000,0.46,Trade,CBL,2019-02-28 00:00:00,0.0,,2019,2,1,2017
10,VCS 727,Wind,Cecic hke zhangbei lvnaobao wind power project,China,VCS,46669,0.46,Trade,CBL,2019-02-28 00:00:00,0.0,,2019,2,1,2016
11,VCS 717,Wind,Cecic HKC Gansu Changma Wind Power Project,China,VCS,118028,0.46,Trade,CBL,2019-02-28 00:00:00,0.0,,2019,2,1,2016
