,Project ID,Project Name,Project Proponent,Project Type,AFOLU Activities,Methodology,Status,Country/Area,Estimated Annual Emission Reductions,Region,Project Registration Date,Crediting Period Start Date,Crediting Period End Date,Method,Type,SDG,CCB,No Additional Cert
123,3818,Blue Carbon Mitigation through Community Based Mangrove Restoration,Worldview International Foundation,Agriculture Forestry and Other Land Use,ARR; WRC,VM0033,Under validation,Myanmar,259130,Asia,,2021-05-29,2041-05-28,ARR; WRC,AFOLU,0,0,1
124,3815,BOUTILI AFFORESTATION & AGROFORESTRY PROJECT,CENTRAFOREST,Agriculture Forestry and Other Land Use,ARR,AR-ACM0003,Under validation,Central African Republic,5825,,,2020-06-01,2050-05-31,ARR,AFOLU,0,0,1
168,3730,Climate Action in Myanmar through a community-based Mangrove Restoration,Worldview International Foundation,Agriculture Forestry and Other Land Use,ARR; WRC,VM0033,Under validation,Myanmar,91861,Asia,,2022-05-10,2047-05-09,ARR; WRC,AFOLU,0,0,1
223,3602,Udzungwa Corridor Reforestation,Udzungwa Corridor Limited,Agriculture Forestry and Other Land Use,ARR,AR-ACM0003,Registration requested,Tanzania,178047,Africa,,2022-02-03,2052-02-02,ARR,AFOLU,0,0,1
291,3453,ITABU REDD+ PROJECT IN ZAMBIA,Multiple Proponents,Agriculture Forestry and Other Land Use,REDD,VM0015,Under validation,Zambia,9326725,Africa,,2018-01-01,2117-12-31,REDD,AFOLU,0,0,1
292,3434,Lomphat Wildlife Sanctuary REDD+ Project,"Royal Government of Cambodia (RGC), Ministry of Environment",Agriculture Forestry and Other Land Use,REDD,VM0015,Under validation,Cambodia,239752,Asia,,2018-01-01,2047-12-31,REDD,AFOLU,0,0,1
316,3429,Restoration and Conservation of Dry Afromontane Forest in the Highlands of Eastern Tigray,WeForest ASBL,Agriculture Forestry and Other Land Use,ARR,AR-ACM0003,Under development,Ethiopia,94936,Asia,,2018-01-01,2067-12-31,ARR,AFOLU,0,0,1
336,3396,PlanTogo,Sequoia Plantation Togo,Agriculture Forestry and Other Land Use,ARR,AR-ACM0003,Under validation,Togo,1508829,Africa,,2021-06-01,2041-05-31,ARR,AFOLU,0,0,1
372,3333,Restoration of degraded mangroves as a climate change mitigation and adaptation strategy in Asia CPA 1,Multiple Proponents,Agriculture Forestry and Other Land Use,ARR,AR-AM0014,Under validation,Myanmar,322622,Asia,,2019-02-13,2039-02-12,ARR,AFOLU,0,0,1
428,3223,CONSERVATION AND RESTORATION OF THE MANGROVE ECOSYSTEM IN THE GAMBIA THROUGH THE REDD+ MECHANISM,Multiple Proponents,Agriculture Forestry and Other Land Use,ARR; IFM; REDD; WRC,VM0007,Under development,Gambia,300000,Africa,,2022-08-01,2122-07-31,ARR; IFM; REDD; WRC,AFOLU,0,0,1
470,3142,Blue Forest & Mozambique: Building Africa’s Largest Mangrove Restoration Project,Blue Forest,Agriculture Forestry and Other Land Use,ARR; REDD,VM0007,Under development,Mozambique,2965555,Africa,,,,ARR; REDD,AFOLU,0,0,1
510,3072,Rwanda Riparian Restoration Project,EcoPlanet Bamboo Group,Agriculture Forestry and Other Land Use,ARR,AR-ACM0003,Registration requested,Rwanda,51964,Africa,,2022-10-01,2042-09-30,ARR,AFOLU,0,0,1
530,2971,OKA 2 PROJECT,Acacia Batéké Capital,Agriculture Forestry and Other Land Use,ARR,AR-ACM0003,Registration requested,Congo,19976,Africa,,2020-08-01,2053-07-31,ARR,AFOLU,0,0,1
536,2965,Niger Acacia Senegal Plantation Project - CER Conversion,Converted from other GHG program,Agriculture Forestry and Other Land Use,ARR,AR-ACM0003,Units Transferred from Approved GHG Program,Niger,24957,Africa,,2005-12-21,2035-12-20,ARR,AFOLU,0,0,1
575,2881,The NFC Uganda Carbon Landscapes Project,New Forests Company Holdings I Limited,Agriculture Forestry and Other Land Use,ARR; IFM,VM0003; AR-ACM0003,Under validation,Uganda,74328,Africa,,2017-07-01,2047-06-30,ARR; IFM,AFOLU,0,0,1
585,2857,Integrated REDD+ Project in Zambia,Kanaka Management Services Private Limited,Agriculture Forestry and Other Land Use,REDD,VM0015,Under development,Zambia,3010753,Africa,,2017-11-01,2116-10-31,REDD,AFOLU,0,0,1
597,2834,"Mangrove Restoration Project with Sine Saloum and Casamance communities, Senegal",WeForest ASBL,Agriculture Forestry and Other Land Use,ARR; WRC,AR-AM0014,Under validation,Senegal,95470,Africa,,2020-07-10,2050-07-09,ARR; WRC,AFOLU,0,0,1
600,2792,Restoration of Degraded Mangroves and Sustainable Development in Myanmar,Worldview International Foundation,Agriculture Forestry and Other Land Use,ARR,AR-AM0014,Registration requested,Myanmar,70285,Asia,,2020-09-01,2040-08-31,ARR,AFOLU,0,0,1
605,2765,"IMPROVED FOREST MANAGEMENT THROUGH LOGGED-TO-PROTECTED FORESTS AND REDUCED IMPACT LOGGING IN UFA NGOMBÉ, REPUBLIC OF CONGO",Interholco AG,Agriculture Forestry and Other Land Use,IFM,VM0010,Under development,Congo,413560,Africa,,2015-01-01,2024-12-31,IFM,AFOLU,0,0,1
654,2619,Tombwe Smallholder Reforestation Project,Tombwe Processing Limited,Agriculture Forestry and Other Land Use,ARR,AR-ACM0003,Registration requested,Zambia,56657,Africa,,2019-10-01,2049-09-30,ARR,AFOLU,0,0,1
655,2618,COMACO Landscape Management Project - West,Community Markets for Conservation (COMACO),Agriculture Forestry and Other Land Use,ALM; REDD,VM0015; VM0017,Under validation,Zambia,147925,Africa,,2017-07-01,2027-06-30,ALM; REDD,AFOLU,0,0,1
680,2538,Pendjari and W-Benin National Parks REDD+ Project,African Parks Benin (A Branch of African Parks Network),Agriculture Forestry and Other Land Use,REDD,VM0009,Registration and verification approval requested,Benin,269843,Africa,,2017-08-24,2047-08-23,REDD,AFOLU,0,0,1
687,2510,"CHINKO CONSERVATION AREA REDD+ PROJECT, CENTRAL AFRICAN REPUBLIC",African Parks RCA,Agriculture Forestry and Other Land Use,REDD,VM0009,Registration and verification approval requested,Central African Republic,1248867,Africa,,2016-09-15,2044-09-14,REDD,AFOLU,0,0,1
696,2485,Agri-SMART: Sustaining a resilient and inclusive development in Zambezia,Carbon Sink Group s.r.l.,Agriculture Forestry and Other Land Use,ALM,VM0017,Registration requested,Mozambique,163,Africa,,2020-12-10,2040-12-09,ALM,AFOLU,0,0,1
703,2471,Agroforestry and reforestation with small-scale farmers in Uganda,The PURE PROJECT SAS,Agriculture Forestry and Other Land Use,ARR,AR-AMS0007,Registration and verification approval requested,Uganda,1214,Africa,,2016-04-13,2051-04-12,ARR,AFOLU,0,0,1
720,2401,Reforestation of Degraded Lands in Sierra Leone,Miro Forestry Developments Limited,Agriculture Forestry and Other Land Use,ARR,AR-AM0003,Registered,Sierra Leone,126297,Africa,2021-12-23,2016-05-16,2046-05-15,ARR,AFOLU,0,0,1
731,2382,Niger Acacia Senegal Plantation Project,Achats Service International,Agriculture Forestry and Other Land Use,ARR,AR-ACM0003,Registered,Niger,24957,Africa,2021-10-25,2005-12-21,2035-12-20,ARR,AFOLU,0,0,1
753,2339,"TIST Program in Uganda, VCS-CCB 010",Clean Air Action Corporation,Agriculture Forestry and Other Land Use,ARR,AR-AMS0007,Registered,Uganda,83340,Africa,2021-08-30,2015-02-01,2075-01-31,ARR,AFOLU,0,1,0
757,2324,COMMUNITY BASED AVOIDED DEFORESTATION PROJECT IN GUINEA-BISSAU - REDD,BioGuinea Foundation,Agriculture Forestry and Other Land Use,REDD,VM0007,Registered,Guinea-Bissau,920436,Africa,2020-10-27,2011-03-31,2031-03-30,REDD,AFOLU,0,0,1
760,2319,Agroforestry plantation Bateke Plateaus,FRM Commitment,Agriculture Forestry and Other Land Use,ARR; REDD,AR-ACM0003,Registered,Congo,36102,Africa,2023-03-07,2018-08-01,2051-07-31,ARR; REDD,AFOLU,0,0,1
777,1071,Jatropha Agroforestry Senegal,African National Oil Corporation s.a.r.l.,Agriculture Forestry and Other Land Use,ARR,AR-ACM0003,Registered,Senegal,1742,Africa,2020-04-06,2009-06-03,2034-06-02,ARR,AFOLU,0,0,1
781,2088,Mangrove Restoration and Sustainable Development in Myanmar,Worldview International Foundation,Agriculture Forestry and Other Land Use,ARR; WRC,AR-AM0014,Registration requested,Myanmar,403831,Asia,,2020-09-01,2040-08-31,ARR; WRC,AFOLU,0,0,1
784,2085,"Revegetation with fruit Trees in North Manica Province, Mozambique",Agrimoz S.a r.l.,Agriculture Forestry and Other Land Use,ARR,AR-ACM0003,Registered,Mozambique,30799,Africa,2020-07-15,2015-05-28,2035-05-27,ARR,AFOLU,0,0,1
802,1900,Makame Savannah REDD,Carbon Tanzania,Agriculture Forestry and Other Land Use,REDD,VM0007,Registered,Tanzania,136411,Africa,2020-10-02,2016-04-27,2046-04-26,REDD,AFOLU,0,0,1
804,1897,Ntakata Mountains REDD,Carbon Tanzania,Agriculture Forestry and Other Land Use,REDD,VM0007,Registered,Tanzania,420200,Africa,2020-09-22,2017-05-19,2047-05-18,REDD,AFOLU,0,1,0
813,1052,North Pikounda REDD+,Multiple Proponents,Agriculture Forestry and Other Land Use,REDD,VM0011,Registered,Congo,231110,Africa,2013-10-29,2012-01-01,2041-12-31,REDD,AFOLU,0,0,1
815,1848,"Korea - Myanmar Joint - Bago District REDD+ Program, with North Zamari Wildlife Sanctuary",Multiple Proponents,Agriculture Forestry and Other Land Use,REDD,VM0006,Under validation,Myanmar,238397,Asia,,2016-06-03,2046-06-02,REDD,AFOLU,0,0,1
823,829,Jatropha Curcas grouped project in Mali,Multiple Proponents,Agriculture Forestry and Other Land Use,ARR,AR-AMS0004,Registered,Mali,3,Africa,2012-05-29,2007-06-15,2047-06-14,ARR,AFOLU,0,0,1
824,1327,Reforestation of deforested land in Madagascar,EcoFormation,Agriculture Forestry and Other Land Use,ARR,AR-ACM0003,Registered,Madagascar,94452,Africa,2014-05-07,2011-03-01,2041-02-28,ARR,AFOLU,0,0,1
829,799,Bukaleba Forest Project,Busoga Forestry Co. Ltd (Subsidiary Green Resources),Agriculture Forestry and Other Land Use,ARR,AR-ACM0001,Registered,Uganda,11903,Africa,2012-03-20,2004-03-11,2046-03-10,ARR,AFOLU,0,0,1
830,1775,Luangwa Community Forests Project,Multiple Proponents,Agriculture Forestry and Other Land Use,REDD,VM0009,Registered,Zambia,2985650,Africa,2019-10-30,2015-05-01,2045-04-30,REDD,AFOLU,0,0,1
833,1760,The Haidar EL ALI Mangrove Initiative (HEAMI),Multiple Proponents,Agriculture Forestry and Other Land Use,ARR,AR-AMS0003,Under development,Senegal,30170,Africa,,2018-08-01,2048-07-31,ARR,AFOLU,0,0,1
834,1748,Southern Cardamom REDD+ Project,"Royal Government of Cambodia (RGC), Ministry of Environment",Agriculture Forestry and Other Land Use,REDD,VM0009,Registered,Cambodia,3867568,Asia,2020-04-06,2015-01-01,2044-12-31,REDD,AFOLU,1,1,0
835,1743,Beampingaratsy REDD Project,BNC REDD+,Agriculture Forestry and Other Land Use,REDD,VM0007,Registration requested,Madagascar,19867,Africa,,2017-10-05,2037-10-04,REDD,AFOLU,0,0,1
843,1764,"Reforestation and Restoration of degraded mangrove lands, sustainable livelihood and community development in Myanmar",Worldview International Foundation,Agriculture Forestry and Other Land Use,ARR; WRC,AR-AM0014,Registered,Myanmar,184006,Asia,2017-06-26,2015-06-15,2035-06-14,ARR; WRC,AFOLU,0,0,1
844,1689,Tumring REDD+ Project,"The Royal Government of Cambodia, Forestry Administration",Agriculture Forestry and Other Land Use,REDD,VM0009,Registered,Cambodia,378434,Asia,2020-04-06,2015-01-01,2044-12-31,REDD,AFOLU,0,1,0
857,898,Fuelling a greener future for farmers in Malawi through the use of Jatropha curcas,Bio Energy Resources Limited (BERL),Agriculture Forestry and Other Land Use,ARR,AR-ACM0002,Registered,Malawi,863,Africa,2020-04-06,2008-07-08,2038-07-07,ARR,AFOLU,0,0,1
859,1674,Gilé National Reserve REDD Project,National Mozambican Public Agency for Parks and Reserves Conservation (ANAC),Agriculture Forestry and Other Land Use,REDD,VM0007,Registered,Mozambique,68821,Africa,2020-11-16,2012-01-01,2031-12-31,REDD,AFOLU,0,0,1
861,1311,"Carbon Emissions Reduction Project in the Corridor Ankeniheny-Zahamena (CAZ) Protected Area, Madagascar","Govt. of Madagascar, Direction Generale des Forets",Agriculture Forestry and Other Land Use,REDD,VM0015,Registered,Madagascar,1011973,Africa,2020-04-06,2007-12-30,2037-12-29,REDD,AFOLU,0,0,1
862,1672,Musokotwane REDD+ Project,Zambruss Enterprises,Agriculture Forestry and Other Land Use,REDD,VM0009,Under validation,Zambia,1100000,Africa,,2017-06-01,2047-05-31,REDD,AFOLU,0,0,1
867,1650,Reduced Emissions from Deforestation and Degradation in Keo Seima Wildlife Sanctuary,"Royal Government of Cambodia (RGC), Ministry of Environment",Agriculture Forestry and Other Land Use,REDD,VM0015,Registered,Cambodia,1426648,Asia,2020-04-06,2010-01-01,2069-12-31,REDD,AFOLU,0,0,1
871,993,"TIST Program in Uganda, VCS 005",Clean Air Action Corporation,Agriculture Forestry and Other Land Use,ARR,AR-AMS0001,Registered,Uganda,19342,Africa,2013-03-13,2003-01-01,2032-12-31,ARR,AFOLU,0,1,0
